,Project ID,Drive Time,Tilt,Tilt2,Azimuth,Azimuth2,Azimuth3,Panel QTY,System Rating (kW DC),Inverter Manufacturer,Array Type,Squirrel Screen,Consumption Monitoring,Truss / Rafter,Reinforcements,Rough Electrical Inspection,Interconnection Type,Module Length,Module Width,Module Weight,# of Arrays,# of reinforcement,Roof Type,Attachment Type,Portrait / Landscape,# of Stories,Install Season,Total Direct Time for Project for Hourly Employees (Including Drive Time),Total # of Days on Site,Total # Hourly Empoyees on Site,Estimated # of Salaried Employees on Site,Estimated Salary Hours,Estimated Total Direct Time,Estimated Total # of People on Site
267,344,26,25,,144,234,,12,4.8,2,0,1,0,0,0,1,0,74.8,40.9,48,2,0,0,0,0,1,2,27.83333333,1,5,0,0,27.83333333,5
268,345,26,25,,229,139,,12,4.8,2,0,1,0,0,0,1,0,74.8,40.9,48,2,0,0,0,0,1,2,27.83333333,1,5,0,0,27.83333333,5
269,346,26,25,,149,139,,12,4.8,2,0,1,0,0,0,1,0,74.8,40.9,48,2,0,0,0,0,1,2,27.83333333,1,5,0,0,27.83333333,5
270,347,26,25,,133,,,12,4.8,2,0,1,0,0,0,1,0,74.8,40.9,48,1,0,0,0,0,1,2,27.83333333,1,4,0,0,27.83333333,4
271,348,36,38,,179,,,21,8.82,2,0,1,1,1,1,0,0,73.4,40.9,47.8,1,14,0,7,2,2,2,85,2,5,0,0,85,5
272,350,23,22,,90,180,270,50,23,2,0,0,1,1,1,1,8,68,47.4,50,6,26,1,2,2,1,3,185.5,6,5,0,0,185.5,5
273,351,42,15,,180,,,16,7.36,2,0,1,1,0,0,0,6,68,47.4,50,1,0,0,0,0,1,3,57.75,2,5,0,0,57.75,5
274,352,26,30.3,,158,,,14,5.6,2,0,1,1,0,0,0,0,74.8,40.9,48,2,0,0,0,0,2,3,43,1,5,0,0,43,5
275,353,51,39,,163,250,70,26,11.7,2,0,1,1,0,0,0,3,68,47.4,50,4,0,0,0,0,3,3,98,2,5,0,0,98,5
276,354,7,,,,,,8,3.68,2,0,1,0,1,0,1,4,68,47.4,50,2,0,0,0,0,1,3,37.75,1,5,0,0,37.75,5
